date,chain,total_usd
2023-01-13,Algorand,254978695.0
2023-01-14,Algorand,254201226.0
2023-01-15,Algorand,257299734.0
2023-01-16,Algorand,257334814.0
2023-01-17,Algorand,252386113.0
2023-01-18,Algorand,256166038.0
2023-01-19,Algorand,255993781.0
2023-01-20,Algorand,258594553.0
2023-01-21,Algorand,254985929.0
2023-01-22,Algorand,254941099.0
2023-01-23,Algorand,254538598.0
2023-01-24,Algorand,256332218.0
2023-01-25,Algorand,259140964.0
2023-01-26,Algorand,258952277.0
2023-01-27,Algorand,258281996.0
2023-01-28,Algorand,258815631.0
2023-01-29,Algorand,257554510.0
2023-01-30,Algorand,257540943.0
2023-01-31,Algorand,266007750.0
2023-02-01,Algorand,264674031.0
2023-02-02,Algorand,260076538.0
2023-02-03,Algorand,264918799.0
2023-02-04,Algorand,263636824.0
2023-02-05,Algorand,262289530.0
2023-02-06,Algorand,262298821.0
2023-02-07,Algorand,266032012.0
2023-02-08,Algorand,262334116.0
2023-02-09,Algorand,262244716.0
2023-02-10,Algorand,263740539.0
2023-02-11,Algorand,263545294.0
2023-02-12,Algorand,262165317.0
2023-02-13,Algorand,262163953.0
2023-02-14,Algorand,261554753.0
2023-02-15,Algorand,261044581.0
2023-02-16,Algorand,260706632.0
2023-02-17,Algorand,257434266.0
2023-02-18,Algorand,260764641.0
2023-02-19,Algorand,259937640.0
2023-02-20,Algorand,259944509.0
2023-02-21,Algorand,260315234.0
2023-02-22,Algorand,264228613.0
2023-02-23,Algorand,262050188.0
2023-02-24,Algorand,261384791.0
2023-02-25,Algorand,268043387.0
2023-02-26,Algorand,264626596.0
2023-02-27,Algorand,264620422.0
2023-02-28,Algorand,264618109.0
2023-03-01,Algorand,264422235.0
2023-03-02,Algorand,266359954.0
2023-03-03,Algorand,265023840.0
2023-03-04,Algorand,271379511.0
2023-03-05,Algorand,271263944.0
2023-03-06,Algorand,267414017.0
2023-03-07,Algorand,263989230.0
2023-03-08,Algorand,261290625.0
2023-03-09,Algorand,256871018.0
2023-03-10,Algorand,251083352.0
2023-03-11,Algorand,229471824.0
2023-03-12,Algorand,215079158.0
2023-03-13,Algorand,214462608.0
2023-03-14,Algorand,226657585.0
2023-03-15,Algorand,223664426.0
2023-03-16,Algorand,224629320.0
2023-03-17,Algorand,230966193.0
2023-03-18,Algorand,220406512.0
2023-03-19,Algorand,220971504.0
2023-03-20,Algorand,220752008.0
2023-03-21,Algorand,220444239.0
2023-03-22,Algorand,219783085.0
2023-03-23,Algorand,215922274.0
2023-03-24,Algorand,216897223.0
2023-03-25,Algorand,218563167.0
2023-03-26,Algorand,218689167.0
2023-03-27,Algorand,217351495.0
2023-03-28,Algorand,221538911.0
2023-03-29,Algorand,219523395.0
2023-03-30,Algorand,223376895.0
2023-03-31,Algorand,236690515.0
2023-04-01,Algorand,233248842.0
2023-04-02,Algorand,233141826.0
2023-04-03,Algorand,235025245.0
2023-04-04,Algorand,239475310.0
2023-04-05,Algorand,242736348.0
2023-04-06,Algorand,236337680.0
2023-04-07,Algorand,242096714.0
2023-04-08,Algorand,230353529.0
2023-04-09,Algorand,230687776.0
2023-04-10,Algorand,230123405.0
2023-04-11,Algorand,221806746.0
2023-04-12,Algorand,227052154.0
2023-04-13,Algorand,222517140.0
2023-04-14,Algorand,223272651.0
2023-04-15,Algorand,224710549.0
2023-04-16,Algorand,224500860.0
2023-04-17,Algorand,224557008.0
2023-04-18,Algorand,224379590.0
2023-04-19,Algorand,222692244.0
2023-04-20,Algorand,228134071.0
2023-04-21,Algorand,223178770.0
2023-04-22,Algorand,224257496.0
2023-04-23,Algorand,224387623.0
2023-04-24,Algorand,224441725.0
2023-04-25,Algorand,225277941.0
2023-04-26,Algorand,224718208.0
2023-04-27,Algorand,224060258.0
2023-04-28,Algorand,224996381.0
2023-04-29,Algorand,220354400.0
2023-04-30,Algorand,220228400.0
2023-05-01,Algorand,220202334.0
2023-05-02,Algorand,221218031.0
2023-05-03,Algorand,225468749.0
2023-05-04,Algorand,222687842.0
2023-05-05,Algorand,222583619.0
2023-05-06,Algorand,227988192.0
2023-05-07,Algorand,227759108.0
2023-05-08,Algorand,227472828.0
2023-05-09,Algorand,224359888.0
2023-05-10,Algorand,224687840.0
2023-05-11,Algorand,224835213.0
2023-05-12,Algorand,229444802.0
2023-05-13,Algorand,227648174.0
2023-05-14,Algorand,227623571.0
2023-05-15,Algorand,225934490.0
2023-05-16,Algorand,226373070.0
2023-05-17,Algorand,223155238.0
2023-05-18,Algorand,223182786.0
2023-05-19,Algorand,221749667.0
2023-05-20,Algorand,224838807.0
2023-05-21,Algorand,225085417.0
2023-05-22,Algorand,224843552.0
2023-05-23,Algorand,225787613.0
2023-05-24,Algorand,224099911.0
2023-05-25,Algorand,233476982.0
2023-05-26,Algorand,226940854.0
2023-05-27,Algorand,234566621.0
2023-05-28,Algorand,231999591.0
2023-05-29,Algorand,231990384.0
2023-05-30,Algorand,232743324.0
2023-05-31,Algorand,230777600.0
2023-06-01,Algorand,235204245.0
2023-06-02,Algorand,239494477.0
2023-06-03,Algorand,231266038.0
2023-06-04,Algorand,231165698.0
2023-06-05,Algorand,231270864.0
2023-06-06,Algorand,230114538.0
2023-06-07,Algorand,230495720.0
2023-06-08,Algorand,230171152.0
2023-06-09,Algorand,229886498.0
2023-06-10,Algorand,231566391.0
2023-06-11,Algorand,228931132.0
2023-06-12,Algorand,226415440.0
2023-06-13,Algorand,227464614.0
2023-06-14,Algorand,223442567.0
2023-06-15,Algorand,226181662.0
2023-06-16,Algorand,226815763.0
2023-06-17,Algorand,228502121.0
2023-06-18,Algorand,228572761.0
2023-06-19,Algorand,226392625.0
2023-06-20,Algorand,225153694.0
2023-06-21,Algorand,226123261.0
2023-06-22,Algorand,224523402.0
2023-06-23,Algorand,222709812.0
2023-06-24,Algorand,222840956.0
2023-06-25,Algorand,223298990.0
2023-06-26,Algorand,222915276.0
2023-06-27,Algorand,223783050.0
2023-06-28,Algorand,224466910.0
2023-06-29,Algorand,222722183.0
2023-06-30,Algorand,220625394.0
2023-07-01,Algorand,216094592.0
2023-07-02,Algorand,215961589.0
2023-07-03,Algorand,216075035.0
2023-07-04,Algorand,219850021.0
2023-07-05,Algorand,221205630.0
2023-07-06,Algorand,211577298.0
2023-07-07,Algorand,210703508.0
2023-07-08,Algorand,210617186.0
2023-07-09,Algorand,210491959.0
2023-07-10,Algorand,210357926.0
2023-07-11,Algorand,208684819.0
2023-07-12,Algorand,201037970.0
2023-07-13,Algorand,197819166.0
2023-07-14,Algorand,199877114.0
2023-07-15,Algorand,182022027.0
2023-07-16,Algorand,181962932.0
2023-07-17,Algorand,181783984.0
2023-07-18,Algorand,181056972.0
2023-07-19,Algorand,178984658.0
2023-07-20,Algorand,176203118.0
2023-07-21,Algorand,174096626.0
2023-07-22,Algorand,176737983.0
2023-07-23,Algorand,175902142.0
2023-07-24,Algorand,175594786.0
2023-07-25,Algorand,173696873.0
2023-07-26,Algorand,173970781.0
2023-07-27,Algorand,176711473.0
2023-07-28,Algorand,175360636.0
2023-07-29,Algorand,176362456.0
2023-07-30,Algorand,170777884.0
2023-07-31,Algorand,170843980.0
2023-08-01,Algorand,172844412.0
2023-08-02,Algorand,172259458.0
2023-08-03,Algorand,174489712.0
2023-08-04,Algorand,173109699.0
2023-08-05,Algorand,175374162.0
2023-08-06,Algorand,175408349.0
2023-08-07,Algorand,153375653.0
2023-08-08,Algorand,156616192.0
2023-08-09,Algorand,149864054.0
2023-08-10,Algorand,155059321.0
2023-08-11,Algorand,148911829.0
2023-08-12,Algorand,151362761.0
2023-08-13,Algorand,151380724.0
2023-08-14,Algorand,148912877.0
2023-08-15,Algorand,151444798.0
2023-08-16,Algorand,146831743.0
2023-08-17,Algorand,146124271.0
2023-08-18,Algorand,158251582.0
2023-08-19,Algorand,154636861.0
2023-08-20,Algorand,145642674.0
2023-08-21,Algorand,145677329.0
2023-08-22,Algorand,145944044.0
2023-08-23,Algorand,145381384.0
2023-08-24,Algorand,144601798.0
2023-08-25,Algorand,144013585.0
2023-08-26,Algorand,102601231.0
2023-08-27,Algorand,102550290.0
2023-08-28,Algorand,102569397.0
2023-08-29,Algorand,101135770.0
2023-08-30,Algorand,100878931.0
2023-08-31,Algorand,100738947.0
2023-09-01,Algorand,99799601.0
2023-09-02,Algorand,99420001.0
2023-09-03,Algorand,99357450.0
2023-09-04,Algorand,99352626.0
2023-09-05,Algorand,99295173.0
2023-09-06,Algorand,97438968.0
2023-09-07,Algorand,97785888.0
2023-09-08,Algorand,97731966.0
2023-09-09,Algorand,97681487.0
2023-09-10,Algorand,97688555.0
2023-09-11,Algorand,99711061.0
2023-09-12,Algorand,99625744.0
2023-09-13,Algorand,102683528.0
2023-09-14,Algorand,103634719.0
2023-09-15,Algorand,102367494.0
2023-09-16,Algorand,101769000.0
2023-09-17,Algorand,101819057.0
2023-09-18,Algorand,101775677.0
2023-09-19,Algorand,102141476.0
2023-09-20,Algorand,102159587.0
2023-09-21,Algorand,92961418.0
2023-09-22,Algorand,93720813.0
2023-09-23,Algorand,94010028.0
2023-09-24,Algorand,93981650.0
2023-09-25,Algorand,94079194.0
2023-09-26,Algorand,99222233.0
2023-09-27,Algorand,93817042.0
2023-09-28,Algorand,93899720.0
2023-09-29,Algorand,93400927.0
2023-09-30,Algorand,92216837.0
2023-10-01,Algorand,92231321.0
2023-10-02,Algorand,92234765.0
2023-10-03,Algorand,93206670.0
2023-10-04,Algorand,92877072.0
2023-10-05,Algorand,91353833.0
2023-10-06,Algorand,91535589.0
2023-10-07,Algorand,89165635.0
2023-10-08,Algorand,89077825.0
2023-10-09,Algorand,89029243.0
2023-10-10,Algorand,89165827.0
2023-10-11,Algorand,88552538.0
2023-10-12,Algorand,87981938.0
2023-10-13,Algorand,86785196.0
2023-10-14,Algorand,87821654.0
2023-10-15,Algorand,87834625.0
2023-10-16,Algorand,86408010.0
2023-10-17,Algorand,85572240.0
2023-10-18,Algorand,85925132.0
2023-10-19,Algorand,87188147.0
2023-10-20,Algorand,88614505.0
2023-10-21,Algorand,86651170.0
2023-10-22,Algorand,86633206.0
2023-10-23,Algorand,86562494.0
2023-10-24,Algorand,85953269.0
2023-10-25,Algorand,86880337.0
2023-10-26,Algorand,85957104.0
2023-10-27,Algorand,86198059.0
2023-10-28,Algorand,85986808.0
2023-10-29,Algorand,84284069.0
2023-10-30,Algorand,83880956.0
2023-10-31,Algorand,83888700.0
2023-11-01,Algorand,83700026.0
2023-11-02,Algorand,84222023.0
2023-11-03,Algorand,83822623.0
2023-11-04,Algorand,83396948.0
2023-11-05,Algorand,83407098.0
2023-11-06,Algorand,83408177.0
2023-11-07,Algorand,83568802.0
2023-11-08,Algorand,84023346.0
2023-11-09,Algorand,83833760.0
2023-11-10,Algorand,84280771.0
2023-11-11,Algorand,84217479.0
2023-11-12,Algorand,84166991.0
2023-11-13,Algorand,84757430.0
2023-11-14,Algorand,85806143.0
2023-11-15,Algorand,85953858.0
2023-11-16,Algorand,86699652.0
2023-11-17,Algorand,87924275.0
2023-11-18,Algorand,87045976.0
2023-11-19,Algorand,87090050.0
2023-11-20,Algorand,87015532.0
2023-11-21,Algorand,86818505.0
2023-11-22,Algorand,87191466.0
2023-11-23,Algorand,87743009.0
2023-11-24,Algorand,87148786.0
2023-11-25,Algorand,87552890.0
2023-11-26,Algorand,87452110.0
2023-11-27,Algorand,87532337.0
2023-11-28,Algorand,87847088.0
2023-11-29,Algorand,87241631.0
2023-11-30,Algorand,82547964.0
2023-12-01,Algorand,82436377.0
2023-12-02,Algorand,78047775.0
2023-12-03,Algorand,77016316.0
2023-12-04,Algorand,76984391.0
2023-12-05,Algorand,75060339.0
2023-12-06,Algorand,74991663.0
2023-12-07,Algorand,75120822.0
2023-12-08,Algorand,75376957.0
2023-12-09,Algorand,74173107.0
2023-12-10,Algorand,74204663.0
2023-12-11,Algorand,73810416.0
2023-12-12,Algorand,75839735.0
2023-12-13,Algorand,73861569.0
2023-12-14,Algorand,76279834.0
2023-12-15,Algorand,76670420.0
2023-12-16,Algorand,75697521.0
2023-12-17,Algorand,75787051.0
2023-12-18,Algorand,75892683.0
2023-12-19,Algorand,77887781.0
2023-12-20,Algorand,80277548.0
2023-12-21,Algorand,80201823.0
2023-12-22,Algorand,79077780.0
2023-12-23,Algorand,78169706.0
2023-12-24,Algorand,78243631.0
2023-12-25,Algorand,78085527.0
2023-12-26,Algorand,78101654.0
2023-12-27,Algorand,78376731.0
2023-12-28,Algorand,78566022.0
2023-12-29,Algorand,79307690.0
2023-12-30,Algorand,77366811.0
2023-12-31,Algorand,77339836.0
2024-01-01,Algorand,76530594.0
2024-01-02,Algorand,76766420.0
2024-01-03,Algorand,77434213.0
2024-01-04,Algorand,76838423.0
2024-01-05,Algorand,77646399.0
2024-01-06,Algorand,76565065.0
2024-01-07,Algorand,76662056.0
2024-01-08,Algorand,76658041.0
2024-01-09,Algorand,76424762.0
2024-01-10,Algorand,77202375.0
2024-01-11,Algorand,78554699.0
2024-01-12,Algorand,76428695.0
2024-01-13,Algorand,74550364.0
2024-01-14,Algorand,74536671.0
2024-01-15,Algorand,74644327.0
2024-01-16,Algorand,76932224.0
2024-01-17,Algorand,79721375.0
2024-01-18,Algorand,81519383.0
2024-01-19,Algorand,80153612.0
2024-01-20,Algorand,81556626.0
2024-01-21,Algorand,81487810.0
2024-01-22,Algorand,81475667.0
2024-01-23,Algorand,82317380.0
2024-01-24,Algorand,76177297.0
2024-01-25,Algorand,75327779.0
2024-01-26,Algorand,76957410.0
2024-01-27,Algorand,78470755.0
2024-01-28,Algorand,78484209.0
2024-01-29,Algorand,78425836.0
2024-01-30,Algorand,78036414.0
2024-01-31,Algorand,78728260.0
2024-02-01,Algorand,75723984.0
2024-02-02,Algorand,75988519.0
2024-02-03,Algorand,78891799.0
2024-02-04,Algorand,78868943.0
2024-02-05,Algorand,78829642.0
2024-02-06,Algorand,75310028.0
2024-02-07,Algorand,76370960.0
2024-02-08,Algorand,76408202.0
2024-02-09,Algorand,76433864.0
2024-02-10,Algorand,73026991.0
2024-02-11,Algorand,73079778.0
2024-02-12,Algorand,73135043.0
2024-02-13,Algorand,72632415.0
2024-02-14,Algorand,72838551.0
2024-02-15,Algorand,71924192.0
2024-02-16,Algorand,71841568.0
2024-02-17,Algorand,72288125.0
2024-02-18,Algorand,72365354.0
2024-02-19,Algorand,70495651.0
2024-02-20,Algorand,69131029.0
2024-02-21,Algorand,68108094.0
2024-02-22,Algorand,68942685.0
2024-02-23,Algorand,67712906.0
2024-02-24,Algorand,66738327.0
2024-02-25,Algorand,66652384.0
2024-02-26,Algorand,66675034.0
2024-02-27,Algorand,66409129.0
2024-02-28,Algorand,67016206.0
2024-02-29,Algorand,66872796.0
2024-03-01,Algorand,65863187.0
2024-03-02,Algorand,65236710.0
2024-03-03,Algorand,65127441.0
2024-03-04,Algorand,65299652.0
2024-03-05,Algorand,61289089.0
2024-03-06,Algorand,60873850.0
2024-03-07,Algorand,60151227.0
2024-03-08,Algorand,61189957.0
2024-03-09,Algorand,61417649.0
2024-03-10,Algorand,61411510.0
2024-03-11,Algorand,61301186.0
2024-03-12,Algorand,56418578.0
2024-03-13,Algorand,56762741.0
2024-03-14,Algorand,57315653.0
2024-03-15,Algorand,54499084.0
2024-03-16,Algorand,54293541.0
2024-03-17,Algorand,53178115.0
2024-03-18,Algorand,53070595.0
2024-03-19,Algorand,52893106.0
2024-03-20,Algorand,54541197.0
2024-03-21,Algorand,55101706.0
2024-03-22,Algorand,60295495.0
2024-03-23,Algorand,69908548.0
2024-03-24,Algorand,69997894.0
2024-03-25,Algorand,69902542.0
2024-03-26,Algorand,71489759.0
2024-03-27,Algorand,71440703.0
2024-03-28,Algorand,70917382.0
2024-03-29,Algorand,72152443.0
2024-03-30,Algorand,72134898.0
2024-03-31,Algorand,72302440.0
2024-04-01,Algorand,72188561.0
2024-04-02,Algorand,71122678.0
2024-04-03,Algorand,73786429.0
2024-04-04,Algorand,74856420.0
2024-04-05,Algorand,74162446.0
2024-04-06,Algorand,76504981.0
2024-04-07,Algorand,74864849.0
2024-04-08,Algorand,74799943.0
2024-04-09,Algorand,74441520.0
2024-04-10,Algorand,75045308.0
2024-04-11,Algorand,78538822.0
2024-04-12,Algorand,79340952.0
2024-04-13,Algorand,78654080.0
2024-04-14,Algorand,79585271.0
2024-04-15,Algorand,79652213.0
2024-04-16,Algorand,80515792.0
2024-04-17,Algorand,82403165.0
2024-04-18,Algorand,81781014.0
2024-04-19,Algorand,81895860.0
2024-04-20,Algorand,81478789.0
2024-04-21,Algorand,81467434.0
2024-04-22,Algorand,81451727.0
2024-04-23,Algorand,77730338.0
2024-04-24,Algorand,77184273.0
2024-04-25,Algorand,77198859.0
2024-04-26,Algorand,77255955.0
2024-04-27,Algorand,77077188.0
2024-04-28,Algorand,77169140.0
2024-04-29,Algorand,77173235.0
2024-04-30,Algorand,81195252.0
2024-05-01,Algorand,81925281.0
2024-05-02,Algorand,81708211.0
2024-05-03,Algorand,81677794.0
2024-05-04,Algorand,82251726.0
2024-05-05,Algorand,82159622.0
2024-05-06,Algorand,82231862.0
2024-05-07,Algorand,81518160.0
2024-05-08,Algorand,81982855.0
2024-05-09,Algorand,82034367.0
2024-05-10,Algorand,82478492.0
2024-05-11,Algorand,82272086.0
2024-05-12,Algorand,82298633.0
2024-05-13,Algorand,82281920.0
2024-05-14,Algorand,82972227.0
2024-05-15,Algorand,83135358.0
2024-05-16,Algorand,83017314.0
2024-05-17,Algorand,83502424.0
2024-05-18,Algorand,83929263.0
2024-05-19,Algorand,83948615.0
2024-05-20,Algorand,83947266.0
2024-05-21,Algorand,83633653.0
2024-05-22,Algorand,83422880.0
2024-05-23,Algorand,84294393.0
2024-05-24,Algorand,84281122.0
2024-05-25,Algorand,84683537.0
2024-05-26,Algorand,84653893.0
2024-05-27,Algorand,84682722.0
2024-05-28,Algorand,84657536.0
2024-05-29,Algorand,84312541.0
2024-05-30,Algorand,84933679.0
2024-05-31,Algorand,84288287.0
2024-06-01,Algorand,84439412.0
2024-06-02,Algorand,83596106.0
2024-06-03,Algorand,83613522.0
2024-06-04,Algorand,84613924.0
2024-06-05,Algorand,84844540.0
2024-06-06,Algorand,84688320.0
2024-06-07,Algorand,84675309.0
2024-06-08,Algorand,84155240.0
2024-06-09,Algorand,84154895.0
2024-06-10,Algorand,84148249.0
2024-06-11,Algorand,84542839.0
2024-06-12,Algorand,83688641.0
2024-06-13,Algorand,83070205.0
2024-06-14,Algorand,83663678.0
2024-06-15,Algorand,86645671.0
2024-06-16,Algorand,86641141.0
2024-06-17,Algorand,86636910.0
2024-06-18,Algorand,86063457.0
2024-06-19,Algorand,86630899.0
2024-06-20,Algorand,86545138.0
2024-06-21,Algorand,85234963.0
2024-06-22,Algorand,86231893.0
2024-06-23,Algorand,86209376.0
2024-06-24,Algorand,86168892.0
