symbol,anchor,price_usd,anchor_usd,offpeg_pct
SEUR,EUR,0.4658417532265266,1.1491,-59.460294732701534
IBEUR,EUR,0.49327459683177266,1.1491,-57.072961723803616
tGBP,GBP,0.9993895884639371,1.3065378055713475,-23.508559476631053
CJPY,JPY,0.0054062067705718175,0.006514541640682579,-17.01324408135385
EUROe,EUR,0.9993895884639371,1.1491,-13.028492867118867
EURO3,EUR,0.9993895884639371,1.1491,-13.028492867118867
GYEN,JPY,0.005904958343566462,0.006514541640682579,-9.357270714325283
EURE,EUR,1.1365591173039724,1.1491,-1.091365651033649
EURR,EUR,1.1430350074881344,1.1491,-0.5278037169842209
eEUR,EUR,1.144408119061981,1.1491,-0.4083091931093019
VCHF,CHF,1.2320379560093455,1.236256051640667,-0.3411991897409594
AUDD,AUD,0.6477831253137767,0.649539313775366,-0.2703744676179287
EURT,EUR,1.1460536260912082,1.1491,-0.265109556069254
EURA,EUR,1.1480882518569342,1.1491,-0.08804700574934765
EURAU,EUR,1.1481595151875634,1.1491,-0.08184534091345563
PAR,EUR,1.1483,1.1491,-0.0696197023757672
EURC,EUR,1.1483087425244236,1.1491,-0.06885888744029289
CADC,CAD,0.70985585235706,0.7102855730003709,-0.060499700352312225
XSGD,SGD,0.7652276636616111,0.7654543032240874,-0.029608503279898724
CEUR,EUR,1.1488839030912505,1.1491,-0.01880575308932375
EURCV,EUR,1.148971482327238,1.1491,-0.011184202659653142
EURS,EUR,1.1504504499682906,1.1491,0.11752240608220443
EUROP,EUR,1.1520050540804112,1.1491,0.25281125057969867
VGBP,GBP,1.3127399181136876,1.3065378055713475,0.47469828396033975
VEUR,EUR,1.1578768547120257,1.1491,0.7638025160582762
AEUR,EUR,1.1871753194017447,1.1491,3.3134905057649267
eGBP,GBP,1.370516730599272,1.3065378055713475,4.896829219568333
LCNY,CNY,0.9993895884639371,0.14034466333646814,612.0966089518907
