chain,gecko_chain_id,peg,total_circulating_usd
Manta,manta-network,peggedUSD,8657410.072533706
Mantle,mantle,peggedREAL,9201.71613088553
Mantle,mantle,peggedUSD,729124488.3436924
Mantra,,peggedUSD,275788.163088129
Meter,meter,peggedUSD,1694900.0268065163
Metis,metis-token,peggedUSD,14990284.339979453
Mezo,,peggedUSD,16985832.26084653
Milkomeda C1,,peggedUSD,0.0
Mixin,mixin,peggedUSD,34482739.90652361
Mode,mode,peggedUSD,1562627.8249216266
Moonbeam,moonbeam,peggedREAL,18403.43226177106
Moonbeam,moonbeam,peggedUSD,3449671.975637874
Moonriver,moonriver,peggedUSD,8673064.16118611
Morph,,peggedUSD,4286919.770778238
Movement,movement,peggedUSD,45353298.23060719
MultiversX,elrond-erd-2,peggedUSD,10177340.579506628
NEO,neo,peggedUSD,3860139.4918632647
Near,near,peggedUSD,219637972.76441473
Nero,,peggedUSD,10.998690365625036
Nibiru,,peggedUSD,2930630.6732353317
Noble,,peggedEUR,259473.8030792578
Noble,,peggedUSD,306031778.42893183
OKExChain,oec-token,peggedUSD,9723945.991513927
OP Mainnet,,peggedCHF,43092.04605720674
OP Mainnet,,peggedEUR,80518.27349646926
OP Mainnet,,peggedJPY,0.5964007927002126
OP Mainnet,,peggedREAL,55210.29678531319
OP Mainnet,,peggedUSD,700485648.4036914
OP Mainnet,,peggedVAR,22764.52283475169
Oasis,oasis-network,peggedUSD,409359.2194813293
Omni,omni,peggedUSD,80046420.6359812
Ontology,ontology,peggedUSD,0.0
Osmosis,osmosis,peggedUSD,47205610.38038333
Osmosis,osmosis,peggedVAR,12964.20615390083
Penumbra,,peggedUSD,468.8524864480221
Perennial,,peggedUSD,901374.6052250359
Plasma,,peggedUSD,2401190411.130484
Plume Mainnet,plume,peggedUSD,37552309.405895025
Polkadot,polkadot,peggedUSD,265354624.162361
Polygon,matic-network,peggedARS,0.0
Polygon,matic-network,peggedCAD,48681.91435464717
Polygon,matic-network,peggedCHF,98060.5889589443
Polygon,matic-network,peggedEUR,3661031.1528645535
Polygon,matic-network,peggedGBP,7463.652818391248
Polygon,matic-network,peggedPHP,202749.23774948507
Polygon,matic-network,peggedREAL,9239263.556281647
Polygon,matic-network,peggedSGD,2895259.1057354095
Polygon,matic-network,peggedTRY,401251.9895344793
Polygon,matic-network,peggedUAH,865521.8327961952
Polygon,matic-network,peggedUSD,3211032209.169685
Polygon,matic-network,peggedVAR,16000.07563396685
Polygon zkEVM,,peggedUSD,1671304.405681944
Provenance,,peggedUSD,99539000.44922112
PulseChain,pulsechain,peggedUSD,43655756.997050256
REINetwork,rei-network,peggedUSD,2141.1825297815444
Ronin,,peggedUSD,5.905379029952407
Rootstock,rootstock,peggedREAL,0.0
Rootstock,rootstock,peggedUSD,13608010.75411794
SXnetwork,sx-network,peggedUSD,119845.56479606304
Saga,,peggedUSD,141.34161618150333
Scroll,,peggedEUR,0.0
Scroll,,peggedUSD,31515305.414669916
Secret,secret,peggedVAR,1589884.1812574505
Sei,,peggedUSD,138328706.2245123
Shape,,peggedUSD,49228.99350682369
Shiden,shiden,peggedUSD,32763.599202769623
Solana,solana,peggedAUD,1675.1671620614266
Solana,solana,peggedCHF,1713729.1726846248
Solana,solana,peggedEUR,63821354.0100895
Solana,solana,peggedGBP,234296.29897736918
Solana,solana,peggedJPY,77480.59409939671
Solana,solana,peggedREAL,36808693.64695019
Solana,solana,peggedTRY,191430.2747357852
Solana,solana,peggedUSD,14205122623.79481
Solana,solana,peggedVAR,2307033.086962223
Soneium,soneium,peggedUSD,29082772.67970217
Songbird,songbird,peggedUSD,1147776.5361496105
Sonic,sonic-3,peggedCHF,1.23560519
Sonic,sonic-3,peggedEUR,52340.91723833662
Sonic,sonic-3,peggedUSD,200957145.64643392
Sophon,,peggedUSD,2348893.68721126
Stacks,blockstack,peggedUSD,6215810.237414712
StarkNet,,peggedUSD,143615054.95649663
Statemine,,peggedUSD,240008.149724483
Stellar,stellar,peggedAUD,5208663.1429325305
Stellar,stellar,peggedCHF,242042.96427398498
Stellar,stellar,peggedEUR,4087764.706804027
Stellar,stellar,peggedJPY,594963.9450914309
Stellar,stellar,peggedUSD,254807353.87163705
Story,,peggedUSD,4155722.7891664226
Sui,sui,peggedUSD,680060981.7517308
Superposition,,peggedUSD,266.780590942328
Swellchain,,peggedUSD,125397.21852454936
Syscoin,syscoin,peggedUSD,235480.30858317428
TON,the-open-network,peggedUSD,844981602.74469
Taiko,,peggedUSD,1620954.7984113973
Telos,telos,peggedUSD,712731.7801879605
Terra Classic,terra-luna,peggedUSD,0.0
Tezos,tezos,peggedCHF,3.756261961040413
Tezos,tezos,peggedEUR,5.23777173997532
Tezos,tezos,peggedUSD,53455921.632821865
Theta,theta-token,peggedUSD,40558.598680607814
ThunderCore,thunder-token,peggedUSD,874640.3836540072
Tron,tron,peggedCNY,0.0
Tron,tron,peggedPHP,753282.1868507543
Tron,tron,peggedREAL,0.0
Tron,tron,peggedRUB,467336721.9505011
Tron,tron,peggedUSD,77888617833.64546
Unichain,,peggedUSD,203485494.7366453
VeChain,vechain,peggedUSD,182135.71701567803
Velas,velas,peggedUSD,7806.645346067739
Viction,tomochain,peggedUSD,173315.97980767937
Wanchain,wanchain,peggedUSD,1839360.0824060414
Waves,waves,peggedUSD,8070671.236152105
World Chain,worldcoin-wld,peggedUSD,27882097.805152785
X Layer,x-layer,peggedUSD,6652453.375138584
XDC,xdce-crowd-sale,peggedUSD,28482396.956575893
XRPL,ripple,peggedSGD,7652.2766366161095
XRPL,ripple,peggedUSD,307849382.768481
Xai,,peggedUSD,25.014259505922595
ZKsync Era,,peggedUSD,59591959.3108716
ZKsync Era,,peggedVAR,284961.29668004805
Zilliqa,zilliqa,peggedSGD,958643.8875451409
Zilliqa,zilliqa,peggedUSD,3781476.182006067
Zircuit,,peggedUSD,1248678.855869847
Zkfair,,peggedUSD,88235.44863020093
re.al,,peggedUSD,0.0
smartBCH,bitcoin-cash,peggedUSD,73715060.05405352
zkSync Lite,,peggedEUR,341.90848186895255
zkSync Lite,,peggedUSD,8828899.436319971
