month_end,forecast,lower,upper,level,level_lower,level_upper
2025-12-31,20.557603334302016,19.365213295802718,21.749993372801313,847332158.300115,257161100.2781184,2791914429.1770735
2026-01-31,20.378545929843185,18.6922517657589,22.06484009392747,708418748.7414131,131202405.08658856,3825060396.0891027
2026-02-28,20.261315074306843,18.261315074306843,22.261315074306843,630053361.3426439,85268450.11148658,4655499632.28062
2026-03-31,20.182677029006975,18.182677029006975,22.182677029006975,582405226.5743667,78819976.2969255,4303424891.468411
2026-04-30,20.12816731400074,18.12816731400074,22.12816731400074,551508226.9759771,74638522.10511594,4075125228.1472726
2026-05-31,20.08892896134084,18.08892896134084,22.08892896134084,530287018.00842094,71766543.77886838,3918320524.5988703
2026-06-30,20.05944655861851,18.05944655861851,22.05944655861851,514881100.22261596,69681579.5318065,3804485333.8240438
2026-07-31,20.036242908975538,18.036242908975538,22.036242908975538,503071522.08291394,68083326.92936501,3717223698.4450803
2026-08-31,20.01710322506409,18.01710322506409,22.01710322506409,493534451.5621565,66792624.789190754,3646753749.347746
2026-09-30,20.00060520844599,18.00060520844599,22.00060520844599,485458910.3541699,65699719.132518955,3587083122.332707
2026-10-31,19.98582963656139,17.98582963656139,21.98582963656139,478338709.3860808,64736104.71780101,3534471557.943836
2026-11-30,19.972179536973833,17.972179536973833,21.972179536973833,471853699.5743484,63858454.078137994,3486553456.64283
2026-12-31,19.959265830793946,17.959265830793946,21.959265830793946,465799494.78401303,63039106.5580655,3441818597.812627
2027-01-31,19.946834292625837,17.946834292625837,21.946834292625837,460044734.9571685,62260284.50694082,3399296354.616201
2027-02-28,19.93471853026741,17.93471853026741,21.93471853026741,454504571.69559914,61510504.942759246,3358359777.47923
2027-03-31,19.92280952883967,17.92280952883967,21.92280952883967,449123978.4401719,60782320.830555,3318602272.0693502
2027-04-30,19.91103583215397,17.91103583215397,21.91103583215397,443867135.9036402,60070884.5569432,3279759167.6636724
2027-05-31,19.89935060188334,17.89935060188334,21.89935060188334,438710632.3510056,59373027.6881368,3241657473.6389203
2027-06-30,19.887723147141067,17.887723147141067,21.887723147141067,433639086.05423146,58686668.53361528,3204183533.543732
2027-07-31,19.87613337112068,17.87613337112068,21.87613337112068,428642317.81710315,58010429.48897581,3167262132.726236
2027-08-31,19.864568126606045,17.864568126606045,21.864568126606045,423713520.91035414,57343389.36358519,3130842975.882032
2027-09-30,19.853018823071004,17.853018823071004,21.853018823071004,418848075.1821425,56684922.8878853,3094891924.4499736
2027-10-31,19.84147985545416,17.84147985545416,21.84147985545416,414042778.2070953,56034596.660731256,3059385315.5293283
2027-11-30,19.82994757275432,17.82994757275432,21.82994757275432,409295346.814139,55392101.68851912,3024306278.6409492
2027-12-31,19.818419601370138,17.818419601370138,21.818419601370138,404604094.03549284,54757209.6649865,2989642348.685269
2028-01-31,19.806894401538507,17.806894401538507,21.806894401538507,399967719.8890774,54129744.65669046,2955383920.021774
2028-02-29,19.79537097687856,17.79537097687856,21.79537097687856,395385176.0113804,53509564.78305812,2921523246.233659
2028-03-31,19.783848684433814,17.783848684433814,21.783848684433814,390855578.1740859,52896550.37679993,2888053793.708295
2028-04-30,19.772327110622868,17.772327110622868,21.772327110622868,386378149.82155335,52290596.3425383,2854969824.4324894
2028-05-31,19.760805990367068,17.760805990367068,21.760805990367068,381952185.68282527,51691607.23222844,2822266127.119572
2028-06-30,19.749285154467216,17.749285154467216,21.749285154467216,377577028.3574297,51099494.07639129,2789937844.200577
2028-07-31,19.737764495435258,17.737764495435258,21.737764495435258,373252053.27318853,50514172.34837422,2757980360.6766415
2028-08-31,19.726243945362235,17.726243945362235,21.726243945362235,368976659.03713626,49935560.658489905,2726389232.821407
2028-09-30,19.714723461621425,17.714723461621425,21.714723461621425,364750261.25383335,49363579.917416014,2695160142.504185
2028-10-31,19.70320301766109,17.70320301766109,21.70320301766109,360572288.56813204,48798152.8006418,2664288867.9497385
2028-11-30,19.691682597095465,17.691682597095465,21.691682597095465,356442180.1315325,48239203.40557667,2633771265.0170374
2028-12-31,19.680162189927458,17.680162189927458,21.680162189927458,352359383.97715753,47686657.031626984,2603603255.1918626
2029-01-31,19.66864179014498,17.66864179014498,21.66864179014498,348323355.9729447,47140440.03852593,2573780817.8518786
2029-02-28,19.657121394199343,17.657121394199343,21.657121394199343,344333559.1415398,46600479.75429122,2544299985.2412925
2029-03-31,19.64560100004794,17.64560100004794,21.64560100004794,340389463.2119475,46066704.41454747,2515156839.157971
2029-04-30,19.634080606556314,17.634080606556314,21.634080606556314,336490544.3170473,45539043.12158957,2486347508.7183723
2029-05-31,19.622560213127933,17.622560213127933,21.622560213127933,332636284.78253555,45017425.81581901,2457868168.798027
2029-06-30,19.611039819477387,17.611039819477387,21.611039819477387,328826172.97291046,44501783.25490023,2429715038.893509
2029-07-31,19.599519425493256,17.599519425493256,21.599519425493256,325059703.17288107,43992046.99771111,2401884382.246164
2029-08-31,19.58799903115663,17.58799903115663,21.58799903115663,321336375.49070835,43488149.39126154,2374372505.127888
2029-09-30,19.576478636493782,17.576478636493782,21.576478636493782,317655695.77507395,42990023.5594429,2347175756.226869
2029-10-31,19.564958241549483,17.564958241549483,21.564958241549483,314017175.54029095,42497603.392906405,2320290526.0949636
2029-11-30,19.553437846372727,17.553437846372727,21.553437846372727,310420331.89671385,42010823.53964508,2293713246.63349
2029-12-31,19.54191745100959,17.54191745100959,21.54191745100959,306864687.48440206,41529619.396016195,2267440390.6030693
2030-01-31,19.53039705550019,17.53039705550019,21.53039705550019,303349770.40891355,41053927.09805175,2241468471.149195
