month_end,share_USD,share_nonUSD,share_USD_lower,share_USD_upper
2025-12-31,0.9961834880832383,0.003816511916761689,0.4143581721922853,2.3895413254015714
2026-01-31,0.9960093259399208,0.003990674060079247,0.28763362735460396,3.4318197280570235
2026-02-28,0.9958032278379912,0.004196772162008755,0.21731186415839543,4.529860447924691
2026-03-31,0.9956402221234544,0.004359777876545623,0.17217854267888796,5.722352368106018
2026-04-30,0.99552718954176,0.004472810458239995,0.1402548784241323,7.030436603991569
2026-05-31,0.9954500432125641,0.00454995678743586,0.11652082810225735,8.468526496480065
2026-06-30,0.995393656685822,0.004606343314177974,0.09825477590424626,10.049147335461528
2026-07-31,0.9953474259921278,0.004652574007872223,0.0838328008618752,11.784192777675745
2026-08-31,0.9953052412501282,0.004694758749871797,0.0722182361043672,13.685472097208557
2026-09-30,0.9952640613990945,0.004735938600905487,0.06271506380079438,15.764985897874855
2026-10-31,0.9952225990488418,0.004777400951158195,0.05483734187666021,18.035081928241024
2026-11-30,0.9951804429591704,0.004819557040829592,0.04823505376591272,20.508552610364855
2026-12-31,0.9951375591130234,0.004862440886976627,0.04658218595605001,21.235990438400474
2027-01-31,0.9950940396600355,0.004905960339964488,0.04510213750558767,21.932386227668268
2027-02-28,0.9950499924290603,0.004950007570939663,0.04376631283949695,22.60114033823944
2027-03-31,0.9950055017695012,0.004994498230498801,0.04255236829908099,23.245081590580295
2027-04-30,0.9949606214770835,0.005039378522916471,0.04144255173881922,23.866592441163224
2027-05-31,0.9949153797157568,0.005084620284243169,0.04042255261711031,24.467701141466552
2027-06-30,0.9948697867149618,0.005130213285038154,0.03948068643804456,25.050150904083576
2027-07-31,0.9948238416320692,0.005176158367930839,0.038607304139383535,25.61545269317016
2027-08-31,0.9947775375920799,0.005222462407920125,0.037794356442023044,26.16492612244844
2027-09-30,0.9947308649837754,0.005269135016224613,0.03703506720751215,26.69973156688176
2027-10-31,0.9946838134201273,0.00531618657987265,0.036323684919502816,27.22089568241745
2027-11-30,0.9946363727891543,0.005363627210845712,0.03565529109675838,27.729331911050814
2027-12-31,0.9945885337356455,0.005411466264354514,0.035025650822039296,28.225857122550543
2028-01-31,0.9945402878131813,0.005459712186818733,0.03443109485364309,28.711205245172014
2028-02-29,0.9944916274615079,0.005508372538492123,0.03386842571616248,29.186038524505996
2028-03-31,0.9944425459032219,0.005557454096778103,0.03333484220533526,29.650956895483322
2028-04-30,0.9943930370130993,0.005606962986900665,0.03282787818178009,30.106505839681155
2028-05-31,0.9943430951880287,0.005656904811971342,0.03234535255993737,30.553183016400858
2028-06-30,0.9942927152305143,0.0057072847694856765,0.03188532814701491,30.99144389327798
2028-07-31,0.9942418922503304,0.005758107749669561,0.03144607753631923,31.421706554680014
2028-08-31,0.9941906215845538,0.005809378415446154,0.031026054667336624,31.844355829808286
2028-09-30,0.9941388987341768,0.0058611012658231765,0.030623870970888045,32.259746854375294
2028-10-31,0.9940867193147738,0.00591328068522623,0.030238275249349286,32.66820815787208
2028-11-30,0.9940340790186135,0.0059659209813864855,0.029868136618870354,33.07004435130908
2028-12-31,0.9939809735858577,0.006019026414142314,0.02951242997685263,33.465538476734515
2029-01-31,0.9939273987828301,0.006072601217169904,0.029170223563761172,33.85495406903495
2029-02-28,0.9938733503857177,0.006126649614282331,0.028840668271117687,34.23853697185597
2029-03-31,0.9938188241683927,0.006181175831607266,0.02852298841271,34.61651694248198
2029-04-30,0.9937638158933392,0.006236184106660825,0.02821647372773601,34.9891090748325
2029-05-31,0.9937083213049,0.006291678695099945,0.02792047242582257,35.35651506510103
2029-06-30,0.9936523361242463,0.006347663875753695,0.027634385116957465,35.718924340740756
2029-07-31,0.9935958560456234,0.0064041439543766066,0.027357659496059443,36.076515070376175
2029-08-31,0.9935388767335332,0.006461123266466751,0.027089785673586466,36.42945506959931
2029-09-30,0.9934813938206059,0.0065186061793941485,0.026830292061240886,36.77790261544805
2029-10-31,0.9934234029059735,0.006576597094026471,0.0265787417363061,37.122007180547584
2029-11-30,0.9933648995540096,0.006635100445990361,0.026334729220067517,37.46191009636827
2029-12-31,0.9933058792933359,0.006694120706664086,0.026097877615618468,37.79774515377309
2030-01-31,0.993246337616019,0.006753662383981007,0.025867836058537423,38.12963914793273
2030-02-28,0.9931862699769086,0.00681373002309138,0.025644277440738744,38.45771237376614
2030-03-31,0.9931256717930724,0.006874328206927571,0.02542689637350566,38.78207907727828
2030-04-30,0.993064538443306,0.006935461556694,0.02521540736051303,39.10284786748487
2030-05-31,0.9930028652676894,0.0069971347323105615,0.02500954315568271,39.420122093044284
2030-06-30,0.9929406475671844,0.007059352432815635,0.024809053284137867,39.73400018721056
2030-07-31,0.992877880603252,0.007122119396748006,0.024613702707415665,40.044575984303684
2030-08-31,0.9928145595974921,0.007185440402507903,0.02442327061657786,40.351939010503884
2030-09-30,0.9927506797312925,0.007249320268707504,0.024237549338955812,40.65617475147187
2030-10-31,0.9926862361454861,0.007313763854513877,0.0240563433460797,40.95736489900363
2030-11-30,0.9926212239400146,0.007378776059985381,0.023879468351887513,41.25558757869053
