month_end,share_USD,share_nonUSD
2025-12-31,0.8802280809767542,0.1197719190232458
2026-01-31,0.8610170644749494,0.1389829355250506
2026-02-28,0.8467178622457493,0.1532821377542507
2026-03-31,0.8364607916960215,0.1635392083039785
2026-04-30,0.8292750962455278,0.17072490375447225
2026-05-31,0.8243185174099537,0.17568148259004635
2026-06-30,0.8209354721504625,0.17906452784953752
2026-07-31,0.8186440640037446,0.18135593599625544
2026-08-31,0.8171016131344419,0.18289838686555815
2026-09-30,0.8160693173745415,0.18393068262545853
2026-10-31,0.8153828731853522,0.18461712681464781
2026-11-30,0.8149301597773971,0.18506984022260287
2026-12-31,0.8146350755335221,0.1853649244664779
2027-01-31,0.8144461492177193,0.1855538507822807
2027-02-28,0.8143286499525827,0.1856713500474173
2027-03-31,0.8142591792492683,0.18574082075073173
2027-04-30,0.8142219898015566,0.18577801019844342
2027-05-31,0.8142064909938971,0.18579350900610292
2027-06-30,0.8142055636005773,0.18579443639942272
2027-07-31,0.8142144234368167,0.18578557656318329
2027-08-31,0.8142298561640118,0.18577014383598822
2027-09-30,0.8142497024776967,0.18575029752230332
2027-10-31,0.8142725119541213,0.18572748804587869
2027-11-30,0.8142973103930581,0.18570268960694192
2027-12-31,0.8143234434854287,0.18567655651457127
2028-01-31,0.814350471785591,0.18564952821440905
2028-02-29,0.8143781001597299,0.1856218998402701
2028-03-31,0.8144061303971343,0.18559386960286572
2028-04-30,0.8144344293814412,0.18556557061855883
2028-05-31,0.8144629077135456,0.18553709228645443
2028-06-30,0.8144915053544951,0.1855084946455049
2028-07-31,0.8145201819832443,0.18547981801675573
2028-08-31,0.8145489105209879,0.18545108947901212
2028-09-30,0.8145776727821752,0.1854223272178248
2028-10-31,0.8146064565537973,0.18539354344620274
2028-11-30,0.8146352536338858,0.18536474636611422
2028-12-31,0.8146640585142058,0.18533594148579424
2029-01-31,0.814692867495576,0.185307132504424
2029-02-28,0.8147216780937395,0.18527832190626048
2029-03-31,0.8147504886403545,0.1852495113596455
2029-04-30,0.8147792980150321,0.18522070198496787
2029-05-31,0.8148081054653755,0.18519189453462448
2029-06-30,0.8148369104861247,0.18516308951387528
2029-07-31,0.8148657127379901,0.18513428726200987
2029-08-31,0.8148945119931452,0.18510548800685478
2029-09-30,0.8149233080986198,0.1850766919013802
2029-10-31,0.8149521009517148,0.18504789904828522
2029-11-30,0.8149808904834925,0.18501910951650746
2029-12-31,0.8150096766476893,0.1849903233523107
2030-01-31,0.8150384594132679,0.1849615405867321
2030-02-28,0.8150672387594178,0.18493276124058222
2030-03-31,0.8150960146721955,0.1849039853278045
2030-04-30,0.8151247871422705,0.18487521285772945
2030-05-31,0.8151535561634093,0.18484644383659066
2030-06-30,0.8151823217314589,0.18481767826854112
2030-07-31,0.8152110838436633,0.18478891615633675
2030-08-31,0.8152398424982045,0.18476015750179553
2030-09-30,0.8152685976938953,0.18473140230610474
2030-10-31,0.8152973494299711,0.18470265057002888
2030-11-30,0.8153260977059521,0.1846739022940479
