anchor,month_end,const,log_DEX,z_DXY,z_VIX,log_S_nonUSD,Pol_anchor_l1,sigma_offpeg_l1,tail1_l1,dlog_usd_per_anchor,N_anchor_fc
AUD,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,0.9833333333333333,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,1.9833333333333334,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,1.9833333333333334,1.6605546206111352,1.0,-0.0028307697692661836,3
CNY,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,-1.0166666666666666,19.439895252955598,1.0,0.001101761436823212,1
EUR,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,2.9833333333333334,12.424833278640502,0.9786407766990292,-0.0039465327746739665,15
GBP,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,1.9833333333333334,4.967505954602229,1.0,-0.009480026943746823,2
JPY,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,2.9833333333333334,6.834188916959533,1.0,-0.012305198001912387,2
SGD,2025-12-31,1.0,25.192068491900248,0.22701878935818465,-0.7339054281831916,20.557603334302016,1.9833333333333334,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,0.9666666666666667,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,1.9666666666666666,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,1.9666666666666666,1.6605546206111352,1.0,-0.0028307697692661836,3
CNY,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,-1.0333333333333334,19.439895252955598,1.0,0.001101761436823212,1
EUR,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,2.966666666666667,12.424833278640502,0.9786407766990292,-0.0039465327746739665,15
GBP,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,1.9666666666666666,4.967505954602229,1.0,-0.009480026943746823,2
JPY,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,2.966666666666667,6.834188916959533,1.0,-0.012305198001912387,2
SGD,2026-01-31,1.0,25.156248428898202,0.22701878935818465,-0.657104666198128,20.378545929843185,1.9666666666666666,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,0.95,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,1.95,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,1.95,1.6605546206111352,1.0,-0.0028307697692661836,3
CNY,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,-1.05,19.439895252955598,1.0,0.001101761436823212,1
EUR,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,2.95,12.424833278640502,0.9786407766990292,-0.0039465327746739665,14
GBP,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,1.95,4.967505954602229,1.0,-0.009480026943746823,2
JPY,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,2.95,6.834188916959533,1.0,-0.012305198001912387,2
SGD,2026-02-28,1.0,25.120428365896153,0.22701878935818465,-0.6055207497018612,20.261315074306843,1.95,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2026-03-31,1.0,25.08460830289411,0.22701878935818465,-0.5708739522962399,20.182677029006975,0.9333333333333333,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2026-03-31,1.0,25.08460830289411,0.22701878935818465,-0.5708739522962399,20.182677029006975,1.9333333333333333,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2026-03-31,1.0,25.08460830289411,0.22701878935818465,-0.5708739522962399,20.182677029006975,1.9333333333333333,1.6605546206111352,1.0,-0.0028307697692661836,3
