month_end,share_USD,share_nonUSD,share_USD_lower,share_USD_upper
2025-12-31,0.989684353738074,0.010315646261926048,0.408667527251395,2.3821807334045224
2026-01-31,0.9886651562913824,0.011334843708617592,0.28158729835879914,3.4230666480057215
2026-02-28,0.9877001868128581,0.012299813187141906,0.21135736586767875,4.519142903510699
2026-03-31,0.9869313150489628,0.01306868495103719,0.16765322239663222,5.70599189167029
2026-04-30,0.9863582453438702,0.013641754656129823,0.136743430936455,7.006977342905509
2026-05-31,0.9859342304147781,0.014065769585221877,0.11375493080907659,8.43634126155875
2026-06-30,0.9856107491114089,0.01438925088859111,0.09604831739710958,10.006382257338995
2026-07-31,0.9853512783844716,0.014648721615528437,0.08205254128556343,11.728716569549372
2026-08-31,0.9851317768793898,0.014868223120610202,0.07076703439036353,13.61483080726347
2026-09-30,0.9849373961640933,0.01506260383590674,0.06152107587421394,15.67635993502232
2026-10-31,0.9847591642723817,0.015240835727618252,0.05384672254368671,17.925242050484457
2026-11-30,0.984591606641095,0.015408393358904982,0.047406928846865565,20.37381259285233
2026-12-31,0.9844312664130845,0.015568733586915462,0.04578726831256315,21.09244706686364
2027-01-31,0.9842758527363449,0.01572414726365512,0.04433663985668043,21.780152844486608
2027-02-28,0.98412377049065,0.01587622950934997,0.043027037949404906,22.44030357489389
2027-03-31,0.9839738634860111,0.016026136513988876,0.04183659297136919,23.075705803350743
2027-04-30,0.9840739762289503,0.01592602377104968,0.04076336640808746,23.69271058674268
2027-05-31,0.9839282859576919,0.016071714042308116,0.03976208043789638,24.28554417172559
2027-06-30,0.9837827637591737,0.01621723624082627,0.0388372068318505,24.85973477861616
2027-07-31,0.9836370405447099,0.016362959455290094,0.037979310453180065,25.41678209963039
2027-08-31,0.9834908365068998,0.016509163493100165,0.03718052225469854,25.957996095572504
2027-09-30,0.9833439399975583,0.016656060002441686,0.03643421896369015,26.484528829277025
2027-10-31,0.9831961911269613,0.016803808873038673,0.03573477949795117,26.99739975093619
2027-11-30,0.9830474690295504,0.016952530970449575,0.0350773972769281,27.497516007207835
2027-12-31,0.9822257485591841,0.017774251440815902,0.03442545972474209,27.971837266972543
2028-01-31,0.9820690053113075,0.017930994688692525,0.03384086904729929,28.44831433424683
2028-02-29,0.9819110293029177,0.018088970697082263,0.033287448035308045,28.9142325948601
2028-03-31,0.9817517767395766,0.018248223260423413,0.03276246265425338,29.3701877545317
2028-04-30,0.9818781204361284,0.018121879563871568,0.03227610000525834,29.823236819094337
2028-05-31,0.9817186928925954,0.01828130710740461,0.0318008752381381,30.261046013327583
2028-06-30,0.981557921751024,0.018442078248976035,0.031347669283494486,30.690381254103407
2028-07-31,0.9813957869081481,0.018604213091851896,0.030914794478833618,31.11165760785776
2028-08-31,0.9815293847855691,0.01847061521443094,0.030512738270254643,31.53259531364688
2028-09-30,0.9813670322017148,0.01863296779828516,0.03011601915930521,31.939078822575986
2028-10-31,0.9812032883119441,0.018796711688055856,0.02973554847889479,32.33856538440127
2028-11-30,0.9810381392681592,0.018961860731840807,0.02937022015220184,32.731357231221786
2028-12-31,0.9808715717812316,0.019128428218768367,0.02901903141799447,33.117735125001296
2029-01-31,0.9807035729374907,0.019296427062509336,0.028681070691889975,33.4979604072576
2029-02-28,0.9805341300666586,0.01946586993334143,0.02835550713144222,33.87227680471164
2029-03-31,0.9803632306469025,0.01963676935309755,0.02804158162881734,34.240912025392824
2029-04-30,0.9805092727819057,0.019490727218094306,0.027749773176225897,34.61313539618309
2029-05-31,0.9806595208522937,0.019340479147706313,0.02746812177673834,34.980539781485525
2029-06-30,0.9804897027716211,0.019510297228378937,0.027185014353898737,35.33380623860111
2029-07-31,0.9803184239191378,0.019681576080862184,0.02691109274819399,35.68217213809355
2029-08-31,0.9801456721461442,0.01985432785385577,0.02664585713269559,36.02580357043437
2029-09-30,0.9799714352442005,0.020028564755799505,0.026388845168167547,36.364857120264695
2029-10-31,0.9797957009358927,0.020204299064107256,0.026139628448444814,36.69948059717881
2029-11-30,0.979618456868113,0.020381543131887003,0.025897809350341784,37.029813695970866
2029-12-31,0.9794396906071265,0.020560309392873455,0.025663018234680653,37.355988594471
2030-01-31,0.9792593896349163,0.020740610365083678,0.02543491095302077,37.67813049600983
2030-02-28,0.9790775413464411,0.020922458653558906,0.02521316662132426,37.99635812263718
2030-03-31,0.9788941330475377,0.021105866952462304,0.024997485627363723,38.310784164438545
2030-04-30,0.9782090710045491,0.021790928995450876,0.02477272371072581,38.60471032211532
2030-05-31,0.978018220566225,0.021981779433774995,0.024568399814360264,38.91149812335629
2030-06-30,0.9778257365108398,0.022174263489160184,0.024369347629051998,39.214786805727776
2030-07-31,0.9780087863178129,0.02199121368218715,0.024186155078121958,39.52780569898712
2030-08-31,0.97687401472111,0.023125985278889982,0.023970222216991414,39.79143563419046
2030-09-30,0.9766717503953526,0.02332824960464741,0.023785700171844622,40.08436793400324
2030-10-31,0.9764677596441067,0.023532240355893297,0.023605603954940668,40.374141660376985
2030-11-30,0.976262028479129,0.023737971520870982,0.023429752849686677,40.66083336417976
