month_end,forecast,lower,upper,level,level_lower,level_upper
2025-12-31,26.298557502716093,25.862108103888286,26.7350069015439,263826493573.62302,170518239397.73944,408193393018.78625
2026-01-31,26.206554729261114,25.589322070149244,26.823787388372985,240636835978.56985,129807973720.3891,446090368489.2953
2026-02-28,26.134378280015415,25.378425746312757,26.890330813718073,223880503516.95004,105126029291.61266,476784676380.82886
2026-03-31,26.08362078707434,25.210721989418722,26.95651958472996,212800466598.6534,88895022624.11607,509410282464.11206
2026-04-30,26.048145753342208,25.07221522882431,27.024076277860107,205383695769.46747,77397106167.34221,545013432372.02454
2026-05-31,26.021756106198783,24.95267778052618,27.090834431871386,200034583530.57385,68676834443.52263,582639472719.9617
2026-06-30,26.000107388958888,24.84537081979686,27.154843958120917,195750629756.47424,61688959892.47519,621153430319.5526
2026-07-31,25.980619702883573,24.746154384659828,27.215085021107317,191972832752.81174,55862233729.450134,659722428817.0581
2026-08-31,25.961931494544952,24.652583298061526,27.27127969102838,188418519774.1528,50872243532.47811,697856751122.4022
2026-09-30,25.943403530096774,24.563229346389672,27.323577713803875,184959649994.29922,46523776730.29973,735324484173.5632
2026-10-31,25.924780823414576,24.477241927526553,27.3723197193026,181547075000.31265,42690486233.769516,772053526415.3839
2026-11-30,25.905992575485325,24.39408750808001,27.41789764289064,178167966707.59567,39284171272.252106,808056357883.2777
2026-12-31,25.8870451412332,24.357672778005554,27.41641750446085,174823921454.9055,37879381528.48812,806861207326.8673
2027-01-31,25.867969940015133,24.322425386840063,27.413514493190203,171520724705.4825,36567488375.725494,804522276761.6522
2027-02-28,25.848800883109654,24.288200381292643,27.409401384926664,168264146657.36212,35337140312.9566,801219985533.1583
2027-03-31,25.82956633030214,24.254881929109263,27.404250731495015,165058588609.53207,34179159677.099358,797103788716.7524
2027-04-30,25.810287499348863,24.222373308283014,27.398201690414712,161906929746.58536,33085908654.701855,792296629164.5269
2027-05-31,25.790979318280993,24.190591749535947,27.391366887026038,158810788050.84714,32050920784.81923,786899901274.5007
2027-06-30,25.771651906405765,24.15946553455087,27.38383827826066,155770858158.11697,31068663217.136787,780997884644.4995
2027-07-31,25.752311967564037,24.128932131959466,27.375691803168607,152787204129.4691,30134367415.07158,774661350084.445
2027-08-31,25.732963882888637,24.098936828373837,27.366990937403436,149859478638.87518,29243899605.41378,767950363697.6642
2027-09-30,25.713610495470288,24.069431624526835,27.35778936641374,146987075114.7753,28393657352.902237,760916425181.4229
2027-10-31,25.694253645993363,24.040374302524473,27.348132989462254,144169228724.73315,27580485225.08027,753604091496.6874
2027-11-30,25.67489452730852,24.011727624775915,27.338061429841126,141405081568.91605,26801605376.460964,746052216374.8126
2027-12-31,25.65553391486388,23.983458644847616,27.327609184880146,138693724049.7526,26054560183.327564,738294907127.1638
2028-01-31,25.63617231497083,23.95553811661589,27.316806513325766,136034220855.88887,25337164733.665512,730362273695.1593
2028-02-29,25.61681005982878,23.927939989744,27.305680129913558,133425627187.34943,24647467399.525806,722281023918.9143
2028-03-31,25.59744736845429,23.900640980151934,27.294253756756646,130866998850.34903,23983717034.726456,714074943566.9193
2028-04-30,25.5780843858829,23.87362020486269,27.28254856690311,128357398515.07129,23344335598.927547,705765288703.0002
2028-05-31,25.558721208525306,23.846858871581006,27.270583545469606,125895899570.32465,22727895226.041283,697371110302.4108
2028-06-30,25.539357900669458,23.820340014495777,27.25837578684314,123481588467.9377,22133098936.711094,688909525691.1584
2028-07-31,25.519994505288068,23.794048268967902,27.245940741608234,121113566113.28287,21558764345.15429,680395947645.0023
2028-08-31,25.500631051158408,23.767969678875225,27.23329242344159,118790948650.10193,21003809833.86271,671844279338.3458
2028-09-30,25.48126755757681,23.74209153138367,27.22044358376995,116512867858.87016,20467242769.531216,663267081431.5782
2028-10-31,25.461904037493863,23.716402214779812,27.207405860207913,114278471307.79254,19948149414.062286,654675716196.4972
2028-11-30,25.44254049960624,23.690891095733903,27.194189903478573,112086922345.29295,19445686249.100048,646080472548.053
2028-12-31,25.42317694975602,23.665548412977234,27.180805486534805,109937399991.20244,18959072484.394424,637490675072.5305
2029-01-31,25.403813391868365,23.64036518488618,27.16726159885055,107829098763.64256,18487583561.89277,628914779546.7214
2029-02-28,25.384449828580685,23.615333128886018,27.153566528275352,105761228465.68237,18030545500.932537,620360456980.7249
2029-03-31,25.36508626166512,23.59044459093326,27.13972793239698,103733013947.45815,17587329956.893295,611834667854.5135
2029-04-30,25.345722692312368,23.565692483620232,27.125752901004503,101743694854.01459,17157349887.513063,603343727930.8939
2029-05-31,25.32635912132241,23.541070231680322,27.1116480109645,99792525365.5711,16740055738.81182,594893366797.4152
2029-06-30,25.30699554923269,23.5165717238662,27.097419374599177,97878773934.59064,16334932077.034662,586488780103.8129
2029-07-31,25.28763197640425,23.492191270333507,27.08307268247499,96001723022.50252,15941494604.864923,578134676310.5079
2029-08-31,25.268268403079624,23.467923564795594,27.068613241363654,94160668837.91641,15559287509.892374,569835318639.5419
2029-09-30,25.248904829421715,23.443763650825534,27.054046008017895,92354921077.51624,15187881101.352709,561594562817.2306
2029-10-31,25.22954125553995,23.419706891773888,27.03937561930601,90583802670.38069,14826869697.806438,553415891112.9043
2029-11-30,25.210177681507833,23.395748943847938,27.02460641916773,88846649526.18732,14475869733.957764,545302443107.22894
2029-12-31,25.190814107374734,23.371885731962895,27.009742482786574,87142810287.57411,14134518059.431791,537257043564.2718
2030-01-31,25.17145053317381,23.348113428030256,26.994787638317366,85471646086.80946,13802470406.198893,529282227731.3376
