month_end,forecast,lower,upper,level,level_lower,level_upper
2025-12-31,20.70110274929747,19.50871271079817,21.893492787796767,978080709.1598798,296842635.87133926,3222723955.481016
2026-01-31,20.616840570825744,18.93054640674146,22.303134734910028,899042234.5645229,166506749.9397066,4854319358.365075
2026-02-28,20.566184401840303,18.566184401840303,22.566184401840303,854634458.7359477,115662196.53679867,6314941959.67915
2026-03-31,20.534242208317785,18.534242208317785,22.534242208317785,827766947.4658651,112026074.28919916,6116416411.665857
2026-04-30,20.51258832639045,18.51258832639045,22.51258832639045,810035252.582454,109626350.33988751,5985395923.443212
2026-05-31,20.496563941720453,18.496563941720453,22.496563941720453,797158383.5931551,107883655.62802,5890248016.102702
2026-06-30,20.483578588744088,18.483578588744088,22.483578588744088,786873918.8197012,106491804.67496763,5814255528.944174
2026-07-31,20.472192699286104,18.472192699286104,22.472192699286104,777965470.9038509,105286177.35307743,5748430507.539555
2026-08-31,20.461610984737852,18.461610984737852,22.461610984737852,769776664.577941,104177942.92959064,5687922958.2141285
2026-09-30,20.451400029447377,18.451400029447377,22.451400029447377,761956503.0784056,103119599.15809499,5630139346.191364
2026-10-31,20.441329508391483,18.441329508391483,22.441329508391483,754321711.7575282,102086342.51223159,5573725444.817771
2026-11-30,20.43128236426835,18.43128236426835,22.43128236426835,746780878.159355,101065801.66138268,5518005802.328169
2026-12-31,20.421203847351066,18.421203847351066,22.421203847351066,739292235.0425676,100052324.02411433,5462671798.2333555
2027-01-31,20.411072640066024,18.411072640066024,22.411072640066024,731840125.3402961,99043790.64684711,5407607741.587887
2027-02-28,20.400884603642055,18.400884603642055,22.400884603642055,724421963.9008452,98039851.6673441,5352794530.56086
2027-03-31,20.390643755796468,18.390643755796468,22.390643755796468,717041126.3151897,97040963.92216597,5298257107.583355
2027-04-30,20.380357383623604,18.380357383623604,22.380357383623604,709703179.5542427,96047880.81889804,5244036607.315751
2027-05-31,20.37003350469486,18.37003350469486,22.37003350469486,702413980.9964994,95061395.06751794,5190176310.256342
2027-06-30,20.35967964306036,18.35967964306036,22.35967964306036,695178804.4710526,94082220.40317969,5136715185.024149
2027-07-31,20.349302324053482,18.349302324053482,22.349302324053482,688002014.5741844,93110947.50975738,5083685481.865952
2027-08-31,20.33890694656568,18.33890694656568,22.33890694656568,680887019.5227197,92148037.63924032,5031112384.2870655
2027-09-30,20.32849784007302,18.32849784007302,22.32849784007302,673836353.2562752,91193833.7230642,4979014615.709468
2027-10-31,20.318078400133643,18.318078400133643,22.318078400133643,666851806.5664262,90248578.11851414,4927405408.392573
2027-11-30,20.30765124595824,18.30765124595824,22.30765124595824,659934566.2063433,89312431.43516661,4876293531.322134
2027-12-31,20.29721837204005,18.29721837204005,22.29721837204005,653085342.7503505,88385489.83879896,4825684234.971691
2028-01-31,20.2867812816152,18.2867812816152,22.2867812816152,646304479.7677602,87467799.82646143,4775580057.994169
2028-02-29,20.276341098184695,18.276341098184695,22.276341098184695,639592042.9525893,86559370.28887242,4725981485.806344
2028-03-31,20.26589865559135,18.26589865559135,22.26589865559135,632947890.7256404,85660182.06537113,4676887472.271584
2028-04-30,20.255454569054557,18.255454569054557,22.255454569054557,626371728.9595264,84770195.35014431,4628295844.066125
2028-05-31,20.24500929020175,18.24500929020175,22.24500929020175,619863152.7077584,83889355.3396442,4580203609.017643
2028-06-30,20.2345631491215,18.2345631491215,22.2345631491215,613421677.6182725,83017596.48394702,4532607188.221567
2028-07-31,20.22411638615069,18.22411638615069,22.22411638615069,607046763.3372728,82154845.6541188,4485502588.973387
2028-08-31,20.213669175689944,18.213669175689944,22.213669175689944,600737830.7960422,81301024.48173068,4438885532.501864
2028-09-30,20.203221643915604,18.203221643915604,22.203221643915604,594494274.8858505,80456051.07422127,4392751547.624649
2028-10-31,20.192773881871283,18.192773881871283,22.192773881871283,588315473.6916246,79619841.26453798,4347096038.976374
2028-11-30,20.18232595509312,18.18232595509312,22.18232595509312,582200795.1793884,78792309.51618366,4301914336.422534
2028-12-31,20.171877910654274,18.171877910654274,22.171877910654274,576149602.0129883,77973369.57508945,4257201730.650539
2029-01-31,20.161429782300218,18.161429782300218,22.161429782300218,570161255.004691,77162934.93660241,4212953498.666366
2029-02-28,20.15098159417903,18.15098159417903,22.15098159417903,564235115.573102,76360919.17812866,4169164921.9562697
2029-03-31,20.140533363542872,18.140533363542872,22.140533363542872,558370547.483191,75567236.19462016,4125831299.343919
2029-04-30,20.13008510269882,18.13008510269882,22.13008510269882,552566918.068995,74781800.3640496,4082947956.02502
2029-05-31,20.1196368204143,18.1196368204143,22.1196368204143,546823599.0850427,74004526.6626382,4040510249.858544
2029-06-30,20.109188522927212,18.109188522927212,22.109188522927212,541139967.2920201,73235330.74411687,3998513575.694234
2029-07-31,20.098740214670556,18.098740214670556,22.098740214670556,535515404.8528686,72474128.99333228,3956953368.299405
2029-08-31,20.08829189879127,18.08829189879127,22.08829189879127,529949299.5940225,71720838.56160155,3915825104.2892385
2029-09-30,20.077843577521065,18.077843577521065,22.077843577521065,524441045.17093796,70975377.38911408,3875124303.3498836
2029-10-31,20.06739525244113,18.06739525244113,22.06739525244113,518990041.16594106,70237664.21817392,3834846528.9614663
2029-11-30,20.056946924670797,18.056946924670797,22.056946924670797,513595693.1383421,69507618.59998195,3794987388.768381
2029-12-31,20.046498595001765,18.046498595001765,22.046498595001765,508257412.64093673,68785160.89686911,3755542534.7012258
2030-01-31,20.03605026399361,18.03605026399361,22.03605026399361,502974617.2130512,68070212.28135514,3716507662.9254055
