month_end,share_USD,share_nonUSD
2025-12-31,0.8518737500666715,0.14812624993332846
2026-01-31,0.8289958019707651,0.17100419802923494
2026-02-28,0.8121182726444808,0.18788172735551922
2026-03-31,0.8000897139832341,0.19991028601676586
2026-04-30,0.7917009511709097,0.20829904882909034
2026-05-31,0.7859321026403865,0.2140678973596135
2026-06-30,0.7820023165888091,0.21799768341119086
2026-07-31,0.779343553473418,0.220656446526582
2026-08-31,0.7775545986731554,0.22244540132684465
2026-09-30,0.7763571026437123,0.22364289735628773
2026-10-31,0.7755601174703979,0.22443988252960212
2026-11-30,0.7750335962144909,0.22496640378550914
2026-12-31,0.7746893853058489,0.22531061469415115
2027-01-31,0.7744679139226276,0.2255320860773724
2027-02-28,0.7743290089531575,0.22567099104684252
2027-03-31,0.774245615627951,0.22575438437204898
2027-04-30,0.7741995304006593,0.22580046959934075
2027-05-31,0.7741785126589537,0.22582148734104635
2027-06-30,0.7741743348106442,0.22582566518935576
2027-07-31,0.7741814681516501,0.22581853184834988
2027-08-31,0.7741961982356996,0.22580380176430037
2027-09-30,0.7742160298291267,0.22578397017087326
2027-10-31,0.7742392868610527,0.2257607131389473
2027-11-30,0.7742648435622368,0.2257351564377632
2027-12-31,0.7742919438136807,0.22570805618631928
2028-01-31,0.7743200797834281,0.2256799202165719
2028-02-29,0.7743489104022148,0.22565108959778524
2028-03-31,0.7743782066042519,0.22562179339574806
2028-04-30,0.7744078145476572,0.22559218545234283
2028-05-31,0.7744376309118738,0.2255623690881262
2028-06-30,0.774467586306816,0.225532413693184
2028-07-31,0.7744976341302061,0.22550236586979389
2028-08-31,0.7745277430840674,0.22547225691593265
2028-09-30,0.7745578921487726,0.22544210785122742
2028-10-31,0.7745880672076084,0.22541193279239158
2028-11-30,0.7746182587798358,0.2253817412201642
2028-12-31,0.774648460498219,0.225351539501781
2029-01-31,0.7746786680865372,0.22532133191346282
2029-02-28,0.7747088786728872,0.22529112132711282
2029-03-31,0.7747390903284983,0.2252609096715017
2029-04-30,0.7747693017580034,0.2252306982419966
2029-05-31,0.7747995120914266,0.2252004879085734
2029-06-30,0.7748297207444822,0.2251702792555178
2029-07-31,0.7748599273247528,0.22514007267524716
2029-08-31,0.7748901315686793,0.22510986843132075
2029-09-30,0.7749203332992428,0.22507966670075719
2029-10-31,0.7749505323975444,0.2250494676024556
2029-11-30,0.7749807287837185,0.2250192712162815
2029-12-31,0.7750109224041141,0.22498907759588593
2030-01-31,0.7750411132226853,0.22495888677731468
2030-02-28,0.7750713012152111,0.22492869878478894
2030-03-31,0.7751014863654102,0.2248985136345898
2030-04-30,0.7751316686623354,0.2248683313376646
2030-05-31,0.7751618480986205,0.22483815190137946
2030-06-30,0.775192024669305,0.22480797533069496
2030-07-31,0.775222198371044,0.224777801628956
2030-08-31,0.7752523692015776,0.22474763079842242
2030-09-30,0.7752825371593745,0.22471746284062555
2030-10-31,0.7753127022433931,0.2246872977566069
2030-11-30,0.7753428644529202,0.22465713554707978
