month_end,S_USD,S_ALL,S_nonUSD,share_USD,share_nonUSD,DEX,VIX,DXY,FEE_wgt,BRIDGE_net,log_S_USD,log_S_nonUSD,log_S_ALL,log_DEX,dlog_S_USD,dlog_S_nonUSD,z_VIX,z_DXY,z_FEE_wgt,BRIDGE_intensity,z_BRIDGE,const,N_nonUSD
2017-11-30,110105.0,113408.15,3303.15,0.970873786407767,0.02912621359223301,534841.0,10.54047619047619,110.4648,0.0,,11.609189734940292,8.102631837620311,11.638748537181836,13.1897247854449,,,-1.315931586492198,-1.5192628286762078,-1.0023462769488418,,0.010447933224836958,1,0.0
2017-12-31,110105.0,113408.15,3303.15,0.970873786407767,0.02912621359223301,3130556.0,10.2645,110.0783,0.0,,11.609189734940292,8.102631837620311,11.638748537181836,14.956721182523715,0.0,0.0,-1.3562145689283285,-1.5960480839116247,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-01-31,60183528.0,61989033.84,1805505.8399999999,0.9708737864077669,0.029126213592233007,1284523.0,11.062380952380952,106.7695,0.0,,17.912909251575464,14.40635135425548,17.94246805381701,14.065898001171691,6.303719516635171,6.303719516635169,-1.239751535159269,-2.2534013892750115,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-02-28,60183528.0,61989033.84,1805505.8399999999,0.9708737864077669,0.029126213592233007,634854.0,22.464736842105264,108.3901,0.0,,17.912909251575464,14.40635135425548,17.94246805381701,13.361150330179042,0.0,0.0,0.4245982090839774,-1.9314397213978627,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-03-31,60183528.0,61989033.84,1805505.8399999999,0.9708737864077669,0.029126213592233007,524509.0,19.023809523809526,107.4783,0.0,,17.912909251575464,14.40635135425548,17.94246805381701,13.170217865870509,0.0,0.0,-0.07765821560156871,-2.112585376569023,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-04-30,60183528.0,61989033.84,1805505.8399999999,0.9708737864077669,0.029126213592233007,536983.0,18.267619047619046,109.3356,0.0,,17.912909251575464,14.40635135425548,17.94246805381701,13.193721715634217,0.0,0.0,-0.18803588121898812,-1.7435989482411056,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-05-31,60183528.0,61989033.84,1805505.8399999999,0.9708737864077669,0.029126213592233007,560376.0,14.124545454545455,111.988,0.0,,17.912909251575464,14.40635135425548,17.94246805381701,13.236363265975443,0.0,0.0,-0.7927813865953951,-1.2166514424547648,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-06-30,60183060.0,61988551.8,1805491.8,0.970873786407767,0.02912621359223301,672268.0,13.678095238095239,113.2583,0.0,,17.91290147533111,14.40634357801113,17.942460277572657,13.418412349525715,-7.776244352442063e-06,-7.776244350665706e-06,-0.8579476829952372,-0.9642832413537272,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-07-31,15127992.0,15581831.76,453839.76,0.970873786407767,0.02912621359223301,502509.0,13.147619047619049,112.7297,0.0,,16.53205736049956,13.02549946317958,16.561616162741107,13.127368829202739,-1.3808441148315502,-1.3808441148315502,-0.9353788665580864,-1.0692992463147686,-1.0023462769488418,,0.010447933224836958,1,0.0
2018-08-31,15127992.0,15581831.76,453839.76,0.970873786407767,0.02912621359223301,2404181.0,12.54695652173913,114.275,288.0,,16.53205736049956,13.02549946317958,16.561616162741107,14.692719862984362,0.0,0.0,-1.0230548285253565,-0.7622972931057357,-1.0023451798769156,,0.010447933224836958,1,0.0
